,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
347,1,1250.0,200.0,0.0,0.0,1450.0,1450.0
348,1,410.0,65.6,0.0,0.0,475.6,475.6
349,1,0.0,1033.44,0.0,0.0,0.0,0.0
350,1,6459.0,1033.44,0.0,0.0,7492.4400000000005,7492.44
351,1,1904.0,304.64,0.0,0.0,2208.64,2208.64
352,1,12931.03,2068.97,0.0,0.0,15000.0,15000.0
353,1,0.0,65.6,0.0,0.0,0.0,0.0
354,1,0.01,65.6,0.0,0.0,0.01,0.0
355,1,410.0,65.6,0.0,0.0,475.6,475.6
356,1,1050.0,168.0,0.0,0.0,1218.0,1218.0
357,1,2009.0,4704.0,0.0,0.0,2292.9,2424.3
358,1,3407.34,545.17,0.0,0.0,3952.51,3952.51
359,1,457.0,73.12,0.0,0.0,530.12,530.12
360,1,69.85,11.18,0.0,0.0,81.03,81.03
361,1,99.63,15.94,0.0,0.0,115.57,115.57
362,1,10694.25,1711.08,0.0,0.0,12405.33,12405.33
363,1,681.03,108.97,0.0,0.0,790.0,790.0
364,1,672.41,107.59,0.0,0.0,780.0,780.0
365,1,1608.8,257.41,0.0,0.0,1866.21,1866.21
366,1,140.0,22.4,0.0,0.0,162.4,162.4
367,1,1794.0,287.04,0.0,0.0,2081.04,2081.04
368,1,1200.0,192.0,0.0,0.0,1392.0,1392.0
369,1,0.0,971.06,0.0,0.0,0.0,0.0
370,1,0.0,971.06,0.0,0.0,0.0,0.0
371,1,6069.14,971.06,0.0,0.4,6676.050000000001,6676.05
372,1,1591.32,254.61,0.0,0.0,1845.9299999999998,1845.93
373,1,-2779.5,-444.72,0.0,0.0,-3224.2200000000003,-3224.22
374,1,4740.0,758.4,0.0,0.0,5498.4,5498.4
375,1,150.0,24.0,0.0,0.0,174.0,174.0
376,1,4805.76,768.92,0.0,0.0,5574.68,5574.68
377,1,9200.0,1472.0,0.0,0.0,10672.0,10672.0
378,1,153.84,24.62,0.0,0.0,178.46,178.46
379,1,194.0,31.04,0.0,0.0,225.04,225.04
380,1,15000.0,2400.0,0.0,0.0,17400.0,17400.0
381,1,86.51,13.49,0.0,0.0,100.0,100.0
382,1,0.0,3.03,0.0,0.0,0.0,0.0
383,1,18.97,3.03,0.0,0.0,22.0,22.0
384,1,18.97,3.03,0.0,0.0,22.0,22.0
385,1,464.0,74.24,0.0,0.0,538.24,538.24
386,1,230.0,36.8,0.0,0.0,266.8,266.8
387,1,15080.7,2412.91,0.0,0.0,17493.61,17493.61
388,1,2725.75,436.12,0.0,0.0,3161.87,3161.87
389,1,1139.12,182.26,0.0,0.0,1321.3799999999999,1321.38
390,1,418.3,66.94,0.0,0.0,485.24,485.24
391,1,1070.0,171.2,0.0,0.0,1241.2,1241.2
392,1,464.0,74.24,0.0,0.0,538.24,538.24
393,1,925.0,148.0,0.0,0.0,1073.0,1073.0
394,1,1295.4,207.26,0.0,0.0,1502.66,1502.66
395,1,3800.0,608.0,0.0,0.0,4408.0,4408.0
396,1,2753.6,440.58,0.0,0.0,3194.18,3194.18
397,1,86.52,13.48,0.0,0.0,100.0,100.0
398,1,761.86,121.9,0.0,0.0,883.76,883.76
399,1,3036.4,485.82,0.0,0.0,3522.2200000000003,3522.22
400,1,1200.0,192.0,0.0,0.0,1392.0,1392.0
401,1,7354.31,1144.69,0.0,0.0,8499.0,8299.0
402,1,2058.0,329.28,0.0,0.0,2387.2799999999997,2387.28
403,1,124.07,9.93,0.0,0.0,134.0,134.0
404,1,70.0,0.0,0.0,0.0,70.0,70.0
405,1,2016.23,322.59,0.0,18.34,2320.48,2320.48
406,1,752.43,146.57,0.0,0.0,899.0,899.0
407,1,674.62,124.37,0.0,0.0,798.99,798.99
408,1,674.62,124.37,0.0,0.0,798.99,798.99
409,1,674.62,124.37,0.0,0.0,798.99,798.99
410,1,360.0,57.6,0.0,0.0,417.6,417.6
411,1,270.0,43.2,0.0,0.0,313.2,313.2
412,1,1955.0,312.8,0.0,0.0,2267.8,2267.8
413,1,991.02,158.58,0.0,0.0,1149.6,1149.6
414,1,1900.0,304.0,0.0,0.0,2204.0,2204.0
415,1,-58.97,-9.43,0.0,0.0,-68.4,-68.4
416,1,-991.02,-158.58,0.0,0.0,-1149.6,-1149.6
417,1,1034.4,165.5,0.0,0.0,1199.9,1199.9
418,1,405.0,64.8,0.0,0.0,469.8,469.8
419,1,0.0,0.0,0.0,0.0,0.0,2947.35
420,1,560.35,89.66,0.0,0.0,650.01,650.01
421,1,20584.76,3293.56,0.0,0.0,23878.32,23878.32
422,1,0.0,23.2,0.0,0.0,0.0,0.0
423,1,145.0,23.2,0.0,0.0,168.2,168.2
424,1,9600.0,1536.0,0.0,0.0,11136.0,11136.0
425,1,149.35,23.89,0.0,0.0,173.24,173.24
426,1,108.0,17.28,0.0,0.0,125.28,125.28
427,1,129.76,20.24,0.0,0.0,150.0,150.0
428,1,0.0,100.68,0.0,0.0,0.0,0.0
429,1,629.32,100.68,0.0,0.0,730.0,730.0
430,1,793.12,126.89,0.0,0.0,920.01,920.01
431,1,450.0,72.0,0.0,0.0,522.0,522.0
432,1,90.0,14.4,0.0,0.0,104.4,104.4
433,1,1707.81,273.25,0.0,0.0,1981.06,1981.06
434,1,130.0,20.8,0.0,0.0,150.8,150.8
435,1,0.0,373.09,0.0,0.0,0.0,0.0
436,1,2331.8,373.09,0.0,0.0,2704.8900000000003,2704.89
437,1,4000.0,640.0,0.0,0.4,3813.33,3813.33
438,1,114.0,18.24,0.0,0.0,132.24,132.24
439,1,2440.0,390.4,0.0,0.0,2830.4,2830.4
440,1,0.0,0.0,0.0,0.0,0.0,1800.85
441,1,0.0,390.08,0.0,0.0,0.0,0.0
442,1,0.0,390.08,0.0,0.0,0.0,0.0
443,1,2438.0,390.08,0.0,0.0,2828.08,2828.08
444,1,0.0,0.0,0.0,0.0,0.0,21581.39
